Round,Heat,Sail Number,Skipper Name,Club,Observer
Q6,Heat 2,99,John Hudson,Wynnum Manly Radio Model Yacht Club,
Q6,Heat 2,124,John Glease,Lake Macquarie Radio Yacht Club,
Q6,Heat 2,158,Simon Kellett,Sunshine Coast Radio Sailing Club,
Q6,Heat 2,28,David Moll,Illawarra Radio Yacht Club,
Q6,Heat 2,86,Stephen Elkington,Redlands Radio Sailing Club,
Q6,Heat 3,271,Ben Thorburn,Gladstone Radio Control Yacht Club,
Q6,Heat 3,00,Andrew Holly,NSW Northern Mariners,
Q6,Heat 3,10,Murray Walker,Springfield Lakes Radio Yacht Club,
Q6,Heat 3,24,Chris Woods,Champion Lakes,
Q6,Heat 3,35,John Levy,Nelson Radio Yacht Squadron,
Q6,Heat 3,58,Bob Senior,North Shore Radio Yacht Squadron,
Q6,Heat 3,43,Jimmy Mee,Eagleby Radio Yacht Club,
Q6,Heat 3,37,Ian Gordon,Springfield Lakes Radio Yacht Club,
Q6,Heat 3,71,Sean Wallis,Champion Lakes,
Q6,Heat 3,67,Garry Roberts,North Shore Radio Yacht Squadron,
Q6,Heat 3,60,Glen Fitzgerald,North Brisbane Radio Yacht Club,
Q6,Heat 3,81,Graham Clough,North Shore Radio Yacht Squadron,
Q6,Heat 3,66,Roger Paul,Champion Lakes,
Q6,Heat 3,11,Wayne Keavy,Kogarah Bay Radio Yacht Club,
Q6,Heat 3,07,Bruce Deane,Eagleby Radio Yacht Club,
Q6,Heat 3,40,Garth Halton,North Brisbane Radio Yacht Club,
Q7,Heat 1,23,Philip Pryde,NZL Northern Maritime Model Society,
Q7,Heat 1,60,Glen Fitzgerald,North Brisbane Radio Yacht Club,
Q7,Heat 1,124,John Glease,Lake Macquarie Radio Yacht Club,
Q7,Heat 1,86,Stephen Elkington,Redlands Radio Sailing Club,
Q7,Heat 1,28,David Moll,Illawarra Radio Yacht Club,
Q7,Heat 1,223,Philip Wells,Eagleby Radio Yacht Club,
Q7,Heat 1,271,Ben Thorburn,Gladstone Radio Control Yacht Club,
Q7,Heat 1,97,Derick Warne,Sunshine Coast Radio Sailing Club,
Q7,Heat 1,65,Vince Zweers,Illawarra Radio Yacht Club,
